name='Aarau'  id=8502113
name='Aarberg'  id=8504404
name='Aarburg'  id=8502000
name='Adliswil'  id=8503096
name='Affoltern am Albis'  id=8502224
name='Agno'  id=8505395
name='Aigle'  id=8501400
name='Allschwil'  id=8587001
name='Altdorf'  id=8505113
name='Altstätten'  id=8506319
name='Amriswil'  id=8506109
name='Appenzell'  id=8506286
name='Arbon'  id=8506308
name='Ascona'  id=8505573
name='Aubonne'  id=8501870
name='Avenches'  id=8504126
name='Baar'  id=8502206
name='Baden'  id=8503504
name='Basel'  id=22
name='Bellinzona'  id=8505213
name='Bern'  id=8507000
name='Beromünster'  id=8502038
name='Biasca'  id=8505209
name='Biel/Bienne'  id=8504300
name='Binningen'  id=8500060
name='Birsfelden'  id=8589396
name='Bischofszell'  id=8506215
name='Boudry'  id=8504208
name='Bourg-St-Pierre'  id=8501880
name='Bremgarten'  id=8502273
name='Brig'  id=8501609
name='Brugg'  id=8500309
name='Buchs'  id=8509404
name='Bulle'  id=8504086
name='Bülach'  id=8503400
name='Burgdorf'  id=8508005
name='Carouge'  id=8592669
name='Cham'  id=8502203
name='Châtel-St-Denis'  id=8504062
name='Chur'  id=8509000
name='Conthey'  id=8570713
name='Coppet'  id=8501023
name='Cossonay'  id=8530003
name='Croglio'  id=8575686
name='Cudrefin'  id=8504561
name='Cully'  id=8501124
name='Davos'  id=8509073
name='Delémont'  id=8500109
name='Diessenhofen'  id=8503428
name='Dietikon'  id=8503508
name='Dübendorf'  id=8503128
name='Ebikon'  id=8502200
name='Échallens'  id=8501173
name='Eglisau'  id=8503402
name='Einsiedeln'  id=8503283
name='Elgg'  id=8506014
name='Emmen'  id=8590367
name='Erlach'  id=8504378
name='Estavayer-le-Lac'  id=8504132
name='Frauenfeld'  id=8506100
name='Freienbach'  id=124
name='Fribourg'  id=8504100
name='Geneva'  id=8501008
name='Gland'  id=8501031
name='Glarus'  id=8503230
name='Gordola'  id=8505402
name='Gossau'  id=8506210
name='Grandcour'  id=8504986
name='Grandson'  id=8504201
name='Greifensee'  id=8530648
name='Grenchen'  id=11
name='Grüningen'  id=8576037
name='Gruyères'  id=8504077
name='Herisau'  id=8506290
name='Hermance'  id=8501239
name='Horgen'  id=8503204
name='Horw'  id=8508319
name='Huttwil'  id=8508187
name='Ilanz'  id=8509171
name='Illnau'  id=8503303
name='Ittigen'  id=8507069
name='Kaiserstuhl'  id=8508311
